id,customer_text,draft,evidence_ids,must_include,must_not_promise,human_groundedness_1_5,human_relevance_1_5,human_tone_1_5,human_safety_1_5,llm_judge_avg_if_any
amz-065,Why would my mailman fail to deliver my package? Tracking says bc there was not access to my door. Let me help ya out. Step one: walk up the driveway step two:leave the package #why #fail,"I'm sorry to hear about the trouble with your delivery access. I'd like to look into this for you. Without posting any personal details, could you please confirm the carrier assigned to this shipment and let me know if there were any specific obstructions or access issues at your property that might have caused this?",3277;521;1076,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-026,Android app has the worst UI compare to others. All product Images look so blur. Sometimes the texts are not properly visible .etc. <URL>,"I'm sorry to hear about the display issues you're experiencing with the Android app. That's strange; have you tried signing out and back in, or uninstalling and reinstalling the app? If the issue persists, please send us a DM with your device details and the app version so we can investigate this further for you.",2966,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-030,"If my product is in high priority, then why i haven't received it yet.",I am sorry to hear your order has not arrived as expected. I understand your frustration regarding the delay. Could you please provide your Order ID or the tracking details so we can investigate this for you? You can also reach out to our support team via this link: https://www.amazon.com/contact-us and we'll check this.,608;2869;862,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-044,Haven't been delivered my product yet. Pathetic service. View order details Order date 22-Oct-2017 Order # 407-1197683-6439542,"I am sorry to hear about the delay with your order #407-1197683-6439542. Please don't provide your order details here, as we consider it to be personal information and our page is visible to the public. Please send us a DM so we can look into this for you. (1/2)",3096;2954,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-134,Dishonest delivery setup. Worst cust care. Order no 404-1061350-8629132 against canceled order at high price & late delivery.,We are sorry to hear about the frustration regarding your order and the delivery experience. Please don't provide your order details here as we consider it personal information and our page is visible to the public. Could you please send us a DM with your order number so we can investigate this for you? (2/2),3313;604,acknowledge the request|ask for the order number,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-036,"hey, i have a amazon prime now grocery order that was just confirmed as delivered but it was not delivered?",I'm so sorry to hear your grocery order hasn't arrived despite being marked as delivered. I would like to investigate this with the carrier for you. Could you please send us a DM with your order number so we can look into this further?,2308,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-013,"when packages could arrive in less than 2 business days on order, not sure why it takes 5-10 days on reverse???","We understand your frustration regarding the delivery timeline. Shipping times refer to the transit duration once the item leaves our facility. If your order has been delayed past the promised delivery date in your confirmation email, please send us a DM with your order number so we can investigate this for you.",1977;2030,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-137,"If it’s a week past the return window, can I still exchange??? Please say yes","I understand you're looking to exchange an item outside of the return window. To investigate if an exception can be made, please provide your order number or send us a DM with the details. You can also check your available options by visiting our returns center here: <URL>. Who is the carrier for this order?",1532;911,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-074,I'm getting a delivery date of Oct 30th from ups but a delivery date of tomorrow from Amazon for #MarioOdyssey,I’m sorry about the confusion regarding your delivery date for #MarioOdyssey. I would like to look into this for you. Could you please provide your order number or send us a DM with your details so we can investigate the status of your shipment?,3096,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-090,my package never came so i requested a replacement and a refund and i couldn’t get either sooo what am i supposed to do,"We're sorry to hear about the trouble with your order and the replacement process. We'd like to help investigate this for you! Could you please send us a DM with your order number or tracking details? Once we have that information, we can look into the status of your shipment and the previous refund request.",785;1659;366,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-053,Pathetic..Again ur delivery is delayed and this tym it is not even half way mark. This is happening to ur Prime User. Can it be expedited. Wat has happnd to ur delivery service...goin bad to worst.. My Order Details below <URL>,I am very sorry to hear about the delay with your order and the frustration this has caused. This is certainly not the experience we want for our Prime members. Please send us a DM with your order details so we can investigate the status of your shipment and look into why this delay occurred.,3180;1117;866,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-101,"I am from India. If it is geo-specific, why you did add it in the first place and later removed it. I got frustrated :/","I understand your frustration regarding the availability of items in your region. Availability can vary based on specific courier constraints or regional logistics. To investigate this further, please send us a DM with your order or tracking details so we can look into the specifics of your location. [1/2]",691;1329;2583,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-056,Says rescheduled when it wasn't. I just updated a safe place as my hour window was not met on Monday. Now it's nowhere to be seen. Even said delivery for yesterday and nothing. <URL>,I'm sorry to hear about the confusion regarding your delivery status and the missed windows. I would like to look into this for you. Could you please send us a DM with your order number so we can investigate the tracking details further?,3181;1607;1225,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-106,You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,"I'm sorry to hear you're having trouble accessing your account. For security reasons, we cannot look up accounts using bank information. Please reach out to us via DM with your order number or tracking details so we can investigate further. In the meantime, please visit this link for assistance with account login issues: https://www.amazon.com/gp/help/customer/account-issues",1791;2266,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-048,", yet to get refund after 40 days of puma shoes returned back",I am sorry to hear that you haven't received your refund for the Puma shoes after 40 days. That is certainly not the experience we want for you. Could you please provide your order ID or tracking details via DM so we can investigate this for you? Please keep us posted!,110;2334,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-055,It has just arrived. This is not the first time something has been out for delivery all day only to be delivered the next day or very late.,I'm sorry to hear about the ongoing frustration with your delivery experiences. We would like to look into this for you. Could you please provide your order number or the tracking details via DM so we can investigate this further? <URL>,1543;2067,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-107,"Essentially ""We made a mistake. We charged you when we shouldn't have. You have been refunded. See your money again in 5-10 days.""","We are sorry to hear about the confusion regarding your charges. To investigate this further and review your order status, please send us a DM with your order number or the email address associated with your account. We would like to look into this for you right away.",855;3103;566,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-022,always great when you pay same day delivery... and you physically see the driver slow down looking at the house then drives on. 1/2,"I'm sorry to hear about this frustrating experience with your delivery. This isn't the experience we want you to have. To help me investigate why your package wasn't delivered as expected, could you please provide your order details or send us a DM with the tracking information? I'd like a member of my team to personally address this with you.",2275,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,3.75
amz-098,Used the mobile app.,"I'm sorry to hear you're experiencing issues with the mobile app. Could you please provide more details about what is happening, or share your order/tracking number so we can investigate this further? Please feel free to send us a DM with these details so we can assist you properly.",2408;2966,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-133,"Where do I report disgusting, malicious delivery guys?","I am very sorry to hear about your experience with your delivery. We would like to take a closer look and escalate this for you. When you have a moment, please provide your order or tracking details here: <URL>",2809,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-148,"I can’t return it, it was binned due to it leaking everywhere.",I am very sorry to hear that your item arrived leaking and had to be disposed of. We would like to investigate this for you. Please reach out to us via DM with your order details or report the issue here: <URL> so we can look into this further. (1/2)^CB,908;2431,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-130,I was about to buy a phone under exchange and then when I went to purchase the exchange price changed? Why?,"I understand your concern regarding the exchange price change. Pricing and offers are determined by the sellers in our constantly changing marketplace. To investigate this further, could you please provide your order number or the specific product details? Please send these via DM so we can look into this for you.",3310;2970,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-059,How come you guys will mention that product is delivered to the customer without delivering it.,"I'm sorry to hear that your order is marked as delivered but hasn't arrived. I understand how frustrating this is. Please send us a DM with your order number so we can investigate this with the carrier for you. Please don't provide your order details here, as our page is visible to the public.",398;2855,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-052,"The carrier is USPS, but they seem to get stuck at Amazon facilities or get misdirected. I pay for 2 days. Why isnt UPS/Fedex used anymore?","I'm sorry to hear your recent orders haven't arrived on time; this isn't the experience we strive for! Could you please provide your order number or the tracking details so I can investigate this for you? Also, are you receiving a particular delay message on your order status page here: https://www.amazon.com/your-orders ?",1427;207;792,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-147,"Details sent, haven't received any communication from your side",Thank you for sharing the details. We apologize for the delay in our response. We are currently investigating the status of your order and will get back to you with an update as soon as possible. We appreciate your patience and cooperation while we look into this for you.,1686;2073,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-088,"from what I can tell, everything I ordered is in the box. But I have never received a package in this condition from any of the other carriers. I am willing to pay extra if I have too if only not to have ever used to deliver my packages.",I am very sorry to hear about the poor condition of your package upon arrival. We would like to look into this for you. Could you please send us a DM with your order number or the tracking details so we can investigate this further? We want to help. -RD,567,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-117,No! I have lived here 3 years. I did not change my address,"I'm sorry to hear about the confusion regarding your delivery address. To help me investigate this further, could you please provide your order number or the tracking details? Alternatively, please send us a DM with these details so we can look into this for you immediately. We're here to help!",,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-144,Kindly note I haven't received any phone calls for delivery. Also I'm receiving courier service at my address since last 5 years.,"I am sorry to hear about the delay and the lack of communication regarding your delivery. To investigate this further, please send us a DM with your order number or tracking details. We will look into this immediately to assist you. Apologies for the experience you had with this order.",1270,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-046,Please let me know the status of my order number (#408-2655073-8313954).,"I understand you'd like to check the status of your order #408-2655073-8313954. Please don't provide your order details here, as we consider it to be personal information and our page is visible to the public. Please reach out to our customer service team directly through the 'Help' section of your Amazon account so we can securely investigate this for you. (2/2)",1742,acknowledge the request|ask for the order number,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-037,has delayed my package delivery by 2 days now when it's already local. This is garbage & poor Amazon is getting blamed for your lack of caring.,I'm sorry your order has been delayed! Has the delivery date been updated? You can check the current status and carrier information here: <URL>. Please send us a DM with your order number so we can investigate this further for you. We want to help. -RD,581;2870;567,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-049,"called customer care as well, he advised to replace the order. Replacing order show 1item per account. Disgusting....","I am very sorry to hear about the frustration regarding your replacement order and the item limits you encountered. To investigate this further and assist you with your refund or order concerns, please send us a DM with your order number or tracking details. We want to ensure this is resolved for you. 2/2",146;1432;162,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-000,I have filed a fraud/dispute case and my card is blocked now. I am expecting an answer for this from 3/3,I am very sorry to hear about the frustration this has caused you. I would like to take a closer look into this for you. Could you please send us a DM with your order number or the tracking details so I can investigate this further?,2502;772,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-009,.com Where is my order 402-4940440-7583541 😠 showing delivered I hv'nt received #fraud#cheating #amazon.in#,"I am sorry to hear that your order 402-4940440-7583541 shows as delivered but has not been received. Please don't provide your order details here, as we consider them to be personal information and our page is visible to the public. Please send us a DM so we can investigate this with the carrier for you. ^AK (1/2)",2107;1731,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
